SL_NO,WORD,SEVERITY
1,RAPE,2
2,RAPIST,2
3,BOOB,2
4,MOTHERFUCKER,2
5,FUCKER,2
6,GAY,1
7,FAGGOTS,2
8,FAG,2
9,PORN,1
10,FUCKING,2
11,TRANNY,2
12,ASSFUCK,2
13,ASSWIPE,2
14,BOOTY,2
15,CUNT,2
16,MUTHAFUCKA,2
17,MILF,2
18,FUCKTARDS,1
19,DAFUQ,1
20,DICK,1
21,ASS,1
22,LESBIAN,1
23,PUSSY,1
24,STFU,1
25,TITS,2
26,ASSHOLE,2
27,SLUT,1
28,HOLE,1
29,SUCK,1
30,FUCK,2
31,CLUSTERFUCKS,2
32,SOGGYBUTT,1
33,CUM,2
34,QUEER,2
35,BALLS,1
36,NAKED,2
37,WHORE,2
38,PENIS,2
39,NIPPLE,2
40,BOB,2
41,QUER,2
42,NIPLE,2
43,SOGYBUT,2
44,DUMBAS,1
45,BALS,2
46,ASFUCK,2
47,ASWIPE,2
48,PUSY,2
49,ASHOLE,2
50,TRANY,2
51,FAGOT,2
52,FAGGOT,2
53,MOTHERFUCK,2
54,FUCKED,2
